workload	trial	ops_sec	p50_ms	p99_ms
set_p1	1	42288.34	4.639	10.175
set_p1	2	40066.60	4.703	12.223
set_p1	3	42006.17	4.639	10.431
set_p5	1	63127.24	14.655	31.743
set_p5	2	66572.18	14.271	29.823
set_p5	3	65742.66	14.335	28.671
